Time Index,Year,Month,Counts
939,2000,3,152910
940,2000,4,143681
941,2000,5,99068
942,2000,6,97516
943,2000,7,130571
944,2000,8,117365
945,2000,9,113750
946,2000,10,146610
947,2000,11,182324
948,2000,12,243023
949,2001,1,197765
950,2001,2,199792
951,2001,3,176875
952,2001,4,153186
953,2001,5,110936
954,2001,6,112279
955,2001,7,144380
956,2001,8,136864
957,2001,9,131194
958,2001,10,142095
959,2001,11,164636
960,2001,12,239807
961,2002,1,204717
962,2002,2,212233
963,2002,3,202504
964,2002,4,143877
965,2002,5,118201
966,2002,6,115194
967,2002,7,152156
968,2002,8,133272
969,2002,9,136085
970,2002,10,162327
971,2002,11,198705
972,2002,12,265691
973,2003,1,220861
974,2003,2,222201
975,2003,3,193853
976,2003,4,150416
977,2003,5,102745
978,2003,6,111982
979,2003,7,145564
980,2003,8,135351
981,2003,9,148420
982,2003,10,165821
983,2003,11,211735
984,2003,12,297280
985,2004,1,244333
986,2004,2,238032
987,2004,3,211748
988,2004,4,184379
989,2004,5,132715
990,2004,6,134813
991,2004,7,173328
992,2004,8,152104
993,2004,9,161182
994,2004,10,181371
995,2004,11,220610
996,2004,12,313057
997,2005,1,249933
998,2005,2,250070
999,2005,3,234101
1000,2005,4,174757
1001,2005,5,135708
1002,2005,6,157547
1003,2005,7,168422
1004,2005,8,150656
1005,2005,9,163785
1006,2005,10,176216
1007,2005,11,214694
1008,2005,12,307061
1009,2006,1,250554
1010,2006,2,252431
1011,2006,3,226966
1012,2006,4,191648
1013,2006,5,135279
1014,2006,6,139891
1015,2006,7,166970
1016,2006,8,155699
1017,2006,9,166531
1018,2006,10,186639
1019,2006,11,229913
1020,2006,12,319040
1021,2007,1,246748
1022,2007,2,267569
1023,2007,3,239203
1024,2007,4,193229
1025,2007,5,140755
1026,2007,6,145498
1027,2007,7,173046
1028,2007,8,164775
1029,2007,9,168838
1030,2007,10,179947
1031,2007,11,228813
1032,2007,12,317259
1033,2008,1,253515
1034,2008,2,280513
1035,2008,3,250806
1036,2008,4,179388
1037,2008,5,140483
1038,2008,6,142413
1039,2008,7,175738
1040,2008,8,162485
1041,2008,9,157704
1042,2008,10,173938
1043,2008,11,219313
1044,2008,12,322207
1045,2009,1,244030
1046,2009,2,256559
1047,2009,3,226461
1048,2009,4,195883
1049,2009,5,141916
1050,2009,6,135162
1051,2009,7,176198
1052,2009,8,161100
1053,2009,9,172425
